intervalles,annee,valeur
p40p50,2007,30643.6
p40p50,2008,30013.3
p40p50,2009,26895.4
p40p50,2010,22913.5
p40p50,2011,22615.4
p40p50,2012,23458.5
p40p50,2013,23822.2
p40p50,2014,24165.6
p50p60,1970,8592.6
p50p60,1971,9240
p50p60,1972,10019.5
p50p60,1973,10718.5
p50p60,1974,10904.2
p50p60,1975,11032.9
p50p60,1976,11386.8
p50p60,1977,11868.2
p50p60,1978,12224.1
p50p60,1979,12460.7
p50p60,1980,12774.2
p50p60,1981,13063.2
p50p60,1982,13549.7
p50p60,1983,14222
p50p60,1984,14979.3
p50p60,1985,15685.7
p50p60,1986,16448
p50p60,1987,17376.4
p50p60,1988,18302
p50p60,1989,18849.6
p50p60,1990,18842.9
p50p60,1991,19882.7
p50p60,1992,20577.3
p50p60,1993,20155.6
p50p60,1994,22264.3
p50p60,1995,23976
p50p60,1996,24274.5
p50p60,1997,24953.9
p50p60,1998,24206.9
p50p60,1999,25120
p50p60,2000,25730.4
p50p60,2001,25541.6
p50p60,2002,25508.7
p50p60,2003,24892.8
p50p60,2004,24681.5
p50p60,2005,29871
p50p60,2006,30609.8
p50p60,2007,27456.9
p50p60,2008,26012.8
p50p60,2009,26044.5
p50p60,2010,24558.3
p50p60,2011,23423.7
p50p60,2012,23010.5
p50p60,2013,23373.1
p50p60,2014,23672.6
p60p70,1970,11340.7
p60p70,1971,12300.6
p60p70,1972,13456.1
p60p70,1973,14517.8
p60p70,1974,14880.2
p60p70,1975,15159.2
p60p70,1976,15501.7
p60p70,1977,16034.2
p60p70,1978,16400.7
p60p70,1979,16586.9
p60p70,1980,17189
p60p70,1981,17708.2
p60p70,1982,18458.1
p60p70,1983,19520.9
p60p70,1984,20767.1
p60p70,1985,21501.5
p60p70,1986,22300.2
p60p70,1987,23128.2
p60p70,1988,23853.8
p60p70,1989,25805.7
p60p70,1990,27141.2
p60p70,1991,25164.5
p60p70,1992,24496.4
p60p70,1993,26741.5
p60p70,1994,27970.3
p60p70,1995,28392.6
p60p70,1996,27809.6
p60p70,1997,28912.2
p60p70,1998,28726
p60p70,1999,31278.4
p60p70,2000,32101.2
p60p70,2001,34301.1
p60p70,2002,33676.7
p60p70,2003,35633.3
p60p70,2004,40408.4
p60p70,2005,36895.5
p60p70,2006,38009.4
p60p70,2007,37363.3
p60p70,2008,34635.4
p60p70,2009,29992.2
p60p70,2010,25682.7
p60p70,2011,26958.5
p60p70,2012,27671.3
p60p70,2013,28112.5
p60p70,2014,28505.6
p70p80,1970,15087
p70p80,1971,16098.6
p70p80,1972,17455.3
p70p80,1973,18733.4
p70p80,1974,18967.4
p70p80,1975,19122.3
p70p80,1976,20006.4
p70p80,1977,21097.5
p70p80,1978,22170.9
p70p80,1979,23121.9
p70p80,1980,23633.3
p70p80,1981,23889.5
p70p80,1982,24433.9
p70p80,1983,25488.9
p70p80,1984,26847.3
p70p80,1985,28381.2
p70p80,1986,30177.4
p70p80,1987,31883.7
p70p80,1988,33531.7
p70p80,1989,35155
p70p80,1990,35197.1
p70p80,1991,34181.7
p70p80,1992,36218.7
p70p80,1993,35518.7
p70p80,1994,39494.8
p70p80,1995,41013.7
p70p80,1996,40070.1
p70p80,1997,40989.4
p70p80,1998,41081.2
p70p80,1999,43916.9
p70p80,2000,46107.1
p70p80,2001,44476.5
p70p80,2002,45923.7
p70p80,2003,43663.9
p70p80,2004,44476.1
p70p80,2005,45942.4
p70p80,2006,44767.2
p70p80,2007,45088.4
p70p80,2008,50606.6
p70p80,2009,53594.5
p70p80,2010,51265.7
p70p80,2011,53582
p70p80,2012,54572.2
p70p80,2013,55366.1
p70p80,2014,56278.4
p80p90,1970,26219.8
p80p90,1971,27109.9
p80p90,1972,29007.6
p80p90,1973,30961.6
p80p90,1974,30693.1
p80p90,1975,30399.8
p80p90,1976,30957.7
p80p90,1977,31758.7
p80p90,1978,32981.2
p80p90,1979,34114.4
p80p90,1980,35405.9
p80p90,1981,35819.6
p80p90,1982,36514.7
